34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2024-12-27 23:24:23
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2024-12-27 23:24:23
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2024-12-27 23:24:23
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2024-12-27 23:24:23
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2024-12-27 23:24:23
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2024-12-27 23:24:23
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2024-12-27 23:24:23
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2024-12-27 23:24:23
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2024-12-27 23:24:23
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2024-12-27 23:24:23
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2024-12-27 23:24:23
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2024-12-27 23:24:23
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2024-12-27 23:24:23
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2024-12-27 23:24:23
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2024-12-27 23:24:23
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2024-12-27 23:24:23
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2024-12-27 23:24:23
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:24:23
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-27 23:24:23
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:24:23
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2024-12-27 23:25:16
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2024-12-27 23:25:16
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2024-12-27 23:25:16
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2024-12-27 23:25:16
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2024-12-27 23:25:16
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2024-12-27 23:25:16
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2024-12-27 23:25:16
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2024-12-27 23:25:16
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2024-12-27 23:25:16
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2024-12-27 23:25:16
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2024-12-27 23:25:16
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2024-12-27 23:25:16
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2024-12-27 23:25:16
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2024-12-27 23:25:16
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2024-12-27 23:25:16
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2024-12-27 23:25:16
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2024-12-27 23:25:16
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:25:16
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-27 23:25:16
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:25:16
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2024-12-27 23:27:17
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2024-12-27 23:27:17
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2024-12-27 23:27:17
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2024-12-27 23:27:17
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2024-12-27 23:27:17
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2024-12-27 23:27:17
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2024-12-27 23:27:17
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2024-12-27 23:27:17
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2024-12-27 23:27:17
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2024-12-27 23:27:17
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2024-12-27 23:27:17
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2024-12-27 23:27:17
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2024-12-27 23:27:17
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2024-12-27 23:27:17
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2024-12-27 23:27:17
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2024-12-27 23:27:17
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2024-12-27 23:27:17
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:27:17
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-27 23:27:17
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:27:17
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-27 23:27:28
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2024-12-27 23:27:28
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2024-12-27 23:27:28
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2024-12-27 23:27:28
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2024-12-27 23:27:28
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2024-12-27 23:27:28
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2024-12-27 23:27:28
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2024-12-27 23:27:28
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2024-12-27 23:27:28
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2024-12-27 23:29:24
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2024-12-27 23:29:24
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2024-12-27 23:29:24
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2024-12-27 23:29:24
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2024-12-27 23:29:24
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2024-12-27 23:29:24
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2024-12-27 23:29:24
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2024-12-27 23:29:24
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2024-12-27 23:29:24
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2024-12-27 23:29:24
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2024-12-27 23:29:24
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2024-12-27 23:29:24
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2024-12-27 23:29:24
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2024-12-27 23:29:24
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2024-12-27 23:29:24
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2024-12-27 23:29:24
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2024-12-27 23:29:24
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:29:24
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-27 23:29:24
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-27 23:29:24
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2024-12-29 22:14:41
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2024-12-29 22:14:41
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2024-12-29 22:14:41
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2024-12-29 22:14:41
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2024-12-29 22:14:41
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2024-12-29 22:14:41
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2024-12-29 22:14:41
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2024-12-29 22:14:41
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2024-12-29 22:14:41
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2024-12-29 22:14:41
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2024-12-29 22:14:41
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2024-12-29 22:14:41
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2024-12-29 22:14:41
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2024-12-29 22:14:41
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2024-12-29 22:14:41
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2024-12-29 22:14:41
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2024-12-29 22:14:41
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-29 22:14:41
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-29 22:14:41
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-29 22:14:41
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-29 22:15:15
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2024-12-29 22:15:15
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2024-12-29 22:15:15
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2024-12-29 22:15:15
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2024-12-29 22:15:15
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2024-12-29 22:15:15
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2024-12-29 22:15:15
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2024-12-29 22:15:15
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2024-12-29 22:15:15
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-30 15:54:26
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2024-12-30 15:54:26
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2024-12-30 15:54:26
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2024-12-30 15:54:26
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2024-12-30 15:54:26
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2024-12-30 15:54:26
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2024-12-30 15:54:26
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2024-12-30 15:54:26
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2024-12-30 15:54:26
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2024-12-30 15:54:33
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2024-12-30 15:54:33
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2024-12-30 15:54:33
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2024-12-30 15:54:33
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2024-12-30 15:54:33
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2024-12-30 15:54:33
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2024-12-30 15:54:33
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2024-12-30 15:54:33
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2024-12-30 15:54:33
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2024-12-30 15:54:33
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2024-12-30 15:54:33
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2024-12-30 15:54:33
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2024-12-30 15:54:33
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2024-12-30 15:54:33
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2024-12-30 15:54:33
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2024-12-30 15:54:33
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2024-12-30 15:54:33
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-30 15:54:33
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2024-12-30 15:54:33
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2024-12-30 15:54:33
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2025-01-02 10:02:04
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2025-01-02 10:02:04
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2025-01-02 10:02:04
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2025-01-02 10:02:04
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2025-01-02 10:02:04
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2025-01-02 10:02:04
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2025-01-02 10:02:04
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-02 10:02:04
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2025-01-02 10:02:04
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2025-01-02 10:02:04
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2025-01-02 10:02:04
33085862,108,"Budapest III. kerület, Aranyhegy",155,4.5,2025-01-02 10:02:04
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2025-01-02 10:02:04
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2025-01-02 10:02:04
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2025-01-02 10:02:04
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2025-01-02 10:02:04
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2025-01-02 10:02:04
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-02 10:02:04
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-02 10:02:04
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-02 10:02:04
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-02 10:02:18
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2025-01-02 10:02:18
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-02 10:02:18
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2025-01-02 10:02:18
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2025-01-02 10:02:18
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2025-01-02 10:02:18
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2025-01-02 10:02:18
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2025-01-02 10:02:18
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2025-01-02 10:02:18
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2025-01-03 11:36:14
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2025-01-03 11:36:14
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:36:14
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2025-01-03 11:36:14
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2025-01-03 11:36:14
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2025-01-03 11:36:14
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2025-01-03 11:36:14
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2025-01-03 11:36:14
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2025-01-03 11:36:21
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2025-01-03 11:36:21
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2025-01-03 11:36:21
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2025-01-03 11:36:21
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2025-01-03 11:36:21
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2025-01-03 11:36:21
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2025-01-03 11:36:21
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2025-01-03 11:36:21
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-03 11:36:21
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2025-01-03 11:36:21
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2025-01-03 11:36:21
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2025-01-03 11:36:21
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2025-01-03 11:36:21
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2025-01-03 11:36:21
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2025-01-03 11:36:21
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2025-01-03 11:36:21
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:36:21
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:36:21
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:36:21
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-03 11:36:21
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-03 11:37:21
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:37:21
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:37:21
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:37:21
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-03 11:37:21
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2025-01-03 11:37:21
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2025-01-03 11:37:21
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:37:21
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2025-01-03 11:37:21
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2025-01-03 11:37:21
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2025-01-03 11:37:21
34445329,122,"Budapest II. kerület, II/A kerület - Budaliget",264.70,4,2025-01-03 11:37:21
33127761,120,"Budapest III. kerület, Ürömhegy",208,5,2025-01-03 11:37:21
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2025-01-03 11:37:42
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2025-01-03 11:37:42
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2025-01-03 11:37:42
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2025-01-03 11:37:42
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2025-01-03 11:37:42
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2025-01-03 11:37:42
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2025-01-03 11:37:42
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2025-01-03 11:37:42
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-03 11:37:42
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2025-01-03 11:37:42
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2025-01-03 11:37:42
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2025-01-03 11:37:42
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2025-01-03 11:37:42
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2025-01-03 11:37:42
34419123,130,"Budapest III. kerület, Csillaghegy",269,4,2025-01-03 11:37:42
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2025-01-03 11:37:42
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:37:42
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-03 11:37:42
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-03 11:37:42
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-03 11:37:42
34378786,112,"Budapest III. kerület, Tarhos utca 156.",199.90,5,2025-01-06 12:31:32
34378761,112,"Budapest III. kerület, Tarhos utca 156.",179.90,5,2025-01-06 12:31:32
34335453,130,"Budapest III. kerület, Ürömhegy",189.90,4,2025-01-06 12:31:32
34090899,122,"Budapest III. kerület, Jutas köz 4.",157.50,4,2025-01-06 12:31:32
33484732,105,"Budapest III. kerület, Aranyhegy",183.75,4,2025-01-06 12:31:32
34509222,103,"Budapest III. kerület, Ürömhegy",189,4,2025-01-06 12:31:32
34144137,95,"Budapest III. kerület, Aranyhegy",149,3.5,2025-01-06 12:31:32
34511721,127,"Budapest III. kerület, Ürömhegy",245,4,2025-01-06 12:31:32
33412443,120,"Budapest III. kerület, Csillaghegy",168,5,2025-01-06 12:31:32
33810693,105,"Budapest III. kerület, Ürömhegy",182,5,2025-01-06 12:31:32
33643923,130,"Budapest III. kerület, Csillaghegy",228,5,2025-01-06 12:31:32
34216971,125,"Budapest III. kerület, Csillaghegy",150,4,2025-01-06 12:31:32
34385800,105,"Budapest III. kerület, Aranyhegy",179.90,4,2025-01-06 12:31:32
34333588,104,"Budapest III. kerület, Ürömfű utca",189,4,2025-01-06 12:31:32
34497250,129,"Budapest XI. kerület, Madárhegy",184,5,2025-01-06 12:31:32
34002024,122,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-06 12:31:32
34366994,130,"Budapest II. kerület, II/A kerület - Budaliget",265,5.5,2025-01-06 12:31:32
34025501,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-06 12:31:32
33973446,116,"Budapest II. kerület, II/A kerület - Budaliget",265,4,2025-01-06 12:31:32
34025397,122,"Budapest II. kerület, Előd vezér utca",265,4,2025-01-06 12:31:32
34496580,120,"Budapest II. kerület, Jegesmedve lejtő",164.99,5,2025-01-06 12:31:44
33920599,120,"Budapest III. kerület, Naplemente utca",170,4,2025-01-06 12:31:44
32687768,120,"Budapest III. kerület, Csillaghegy",168,4,2025-01-06 12:31:44
34227039,130,"Budapest XI. kerület, Szerelmey Miklós utca",219,5.5,2025-01-06 12:31:44
34194794,130,"Budapest III. kerület, Tarhos utca",194.90,4,2025-01-06 12:31:44
